Residence Hall, Cost Per Year, Cost Per Semester, Room Types, Max Residents, Nearest Dining Hall
Bourgeois Hall, $9240.00, $4620.00, doubles and quads, 306, Fox Dining Commons
Concordia Hall, $9240.00, $4620.00, singles and doubles, 190, South Campus Dining Commons
Fox Hall, $9240.00, $4620.00, double triples and quads, 804, Fox Dining Commons
Leitch Hall, $9240.00, $4620.00, double and quads, 310, Fox Dining Commons
Donahue Hall, $9890.00, $4945.00, four-person and six-person and eight-person suites, 341, Fox Dining Commons
Sheehy Hall, $9890.00, $4945.00, four-person and six-person and eight-person suites, 250, South Campus Dining Commons
Riverview Suites East, $11090.00, $5545.00, four-person and five-person and six-person suites, 301, South Campus Dining Commons  
University Suites, $11090.00, $5545.00, four and six person suites, 472, Fox Dining Commons
River Hawk Village Studio, $12200.00, $6100.00, apartments, 669, Fox Dining Commons
River Hawk Village Standard, $12200.00, $6100.00, apartments, 669, Fox Dining Commons
Riverview Suites West, $12200.00, $6100.00, four and six person apartments, 510, South Campus Dining Commons
River Hawk Village Deluxe, $12520.00, $6260.00, apartments, 669, Fox Dining Commons
River Hawk Village Townhouse, $12520.00, $6260.00, apartments, 669, Fox Dining Commons